fold,map50,map50_95,precision_mean,recall_mean,ap_Bad_podu,ap_Bad_qiaojiao,predicted_objects,matches,false_positives,false_negatives,operating_precision,operating_recall,candidate_id,imgsz,conf,epochs,device,fn_fp_score
0,0.1661923390111315,0.03786227522035194,0.7029915272584109,0.2546220674810018,0.07572455044070388,0.0,526,74,452,58,0.14068441064638784,0.5606060606060606,img320_conf0p05,320,0.05,1,cpu,171.0
0,0.1661923390111315,0.03786227522035194,0.7029915272584109,0.2546220674810018,0.07572455044070388,0.0,328,72,256,60,0.21951219512195122,0.5454545454545454,img320_conf0p10,320,0.1,1,cpu,124.0
0,0.1661923390111315,0.03786227522035194,0.7029915272584109,0.2546220674810018,0.07572455044070388,0.0,182,61,121,71,0.33516483516483514,0.4621212121212121,img320_conf0p25,320,0.25,1,cpu,101.25
0,0.1661923390111315,0.03786227522035194,0.7029915272584109,0.2546220674810018,0.07572455044070388,0.0,97,40,57,92,0.41237113402061853,0.30303030303030304,img320_conf0p40,320,0.4,1,cpu,106.25
1,0.014659435158042836,0.003483787078181802,0.004768395217807998,0.3072787427626137,0.00681836462194284,0.0001492095344207643,57,1,56,118,0.017543859649122806,0.008403361344537815,img320_conf0p05,320,0.05,1,cpu,132.0
1,0.014659435158042836,0.003483787078181802,0.004768395217807998,0.3072787427626137,0.00681836462194284,0.0001492095344207643,18,0,18,119,0.0,0.0,img320_conf0p10,320,0.1,1,cpu,123.5
1,0.014659435158042836,0.003483787078181802,0.004768395217807998,0.3072787427626137,0.00681836462194284,0.0001492095344207643,0,0,0,119,0.0,0.0,img320_conf0p25,320,0.25,1,cpu,119.0
1,0.014659435158042836,0.003483787078181802,0.004768395217807998,0.3072787427626137,0.00681836462194284,0.0001492095344207643,0,0,0,119,0.0,0.0,img320_conf0p40,320,0.4,1,cpu,119.0
2,0.13745154444898877,0.03778200454822167,0.6998763768323412,0.136,0.07556400909644334,0.0,103,37,66,119,0.3592233009708738,0.23717948717948717,img320_conf0p05,320,0.05,1,cpu,135.5
2,0.13745154444898877,0.03778200454822167,0.6998763768323412,0.136,0.07556400909644334,0.0,46,24,22,132,0.5217391304347826,0.15384615384615385,img320_conf0p10,320,0.1,1,cpu,137.5
2,0.13745154444898877,0.03778200454822167,0.6998763768323412,0.136,0.07556400909644334,0.0,14,9,5,147,0.6428571428571429,0.057692307692307696,img320_conf0p25,320,0.25,1,cpu,148.25
2,0.13745154444898877,0.03778200454822167,0.6998763768323412,0.136,0.07556400909644334,0.0,6,3,3,153,0.5,0.019230769230769232,img320_conf0p40,320,0.4,1,cpu,153.75
3,0.08790392533758722,0.02122867583306501,0.6306924016976159,0.1534090909090909,0.04245735166613002,0.0,135,27,108,96,0.2,0.21951219512195122,img320_conf0p05,320,0.05,1,cpu,123.0
3,0.08790392533758722,0.02122867583306501,0.6306924016976159,0.1534090909090909,0.04245735166613002,0.0,67,16,51,107,0.23880597014925373,0.13008130081300814,img320_conf0p10,320,0.1,1,cpu,119.75
3,0.08790392533758722,0.02122867583306501,0.6306924016976159,0.1534090909090909,0.04245735166613002,0.0,19,7,12,116,0.3684210526315789,0.056910569105691054,img320_conf0p25,320,0.25,1,cpu,119.0
3,0.08790392533758722,0.02122867583306501,0.6306924016976159,0.1534090909090909,0.04245735166613002,0.0,10,5,5,118,0.5,0.04065040650406504,img320_conf0p40,320,0.4,1,cpu,119.25
4,0.13560418489033838,0.03385367616945637,0.6931533175170921,0.16141732283464566,0.06768883526331593,1.8517075596816976e-05,156,47,109,102,0.30128205128205127,0.31543624161073824,img320_conf0p05,320,0.05,1,cpu,129.25
4,0.13560418489033838,0.03385367616945637,0.6931533175170921,0.16141732283464566,0.06768883526331593,1.8517075596816976e-05,88,31,57,118,0.3522727272727273,0.2080536912751678,img320_conf0p10,320,0.1,1,cpu,132.25
4,0.13560418489033838,0.03385367616945637,0.6931533175170921,0.16141732283464566,0.06768883526331593,1.8517075596816976e-05,38,16,22,133,0.42105263157894735,0.10738255033557047,img320_conf0p25,320,0.25,1,cpu,138.5
4,0.13560418489033838,0.03385367616945637,0.6931533175170921,0.16141732283464566,0.06768883526331593,1.8517075596816976e-05,17,10,7,139,0.5882352941176471,0.06711409395973154,img320_conf0p40,320,0.4,1,cpu,140.75
