candidate_id,imgsz,conf,map50_mean,map50_95_mean,operating_precision_mean,operating_recall_mean,false_positives_mean,false_negatives_mean,fn_fp_score_mean
img320_conf0p25,320,0.25,0.10836228576921773,0.026842083769855356,0.35349913244650083,0.13682132785095627,32.0,117.2,125.2
img320_conf0p10,320,0.1,0.10836228576921773,0.026842083769855356,0.26646600459574293,0.20748713827777504,80.8,107.2,127.4
img320_conf0p40,320,0.4,0.10836228576921773,0.026842083769855356,0.40012128562765314,0.08600511454497377,14.4,124.2,127.8
img320_conf0p05,320,0.05,0.10836228576921773,0.026842083769855356,0.20374672450968717,0.268227469172555,158.2,98.6,138.15
